"",cluster_number
MaxEStateIndex,13
MinEStateIndex,53
MaxAbsEStateIndex,13
MinAbsEStateIndex,41
qed,54
MolWt,6
HeavyAtomMolWt,6
ExactMolWt,6
NumValenceElectrons,1
MaxPartialCharge,5
MinPartialCharge,11
MaxAbsPartialCharge,11
MinAbsPartialCharge,5
FpDensityMorgan1,74
FpDensityMorgan2,65
FpDensityMorgan3,46
BalabanJ,69
BertzCT,70
Chi0,1
Chi0n,18
Chi0v,1
Chi1,1
Chi1n,18
Chi1v,4
Chi2n,3
Chi2v,4
Chi3n,3
Chi3v,8
Chi4n,3
Chi4v,8
HallKierAlpha,79
Ipc,55
Kappa1,80
Kappa2,71
Kappa3,72
LabuteASA,1
PEOE_VSA1,61
PEOE_VSA10,73
PEOE_VSA14,62
PEOE_VSA2,50
PEOE_VSA3,63
PEOE_VSA6,57
PEOE_VSA7,52
PEOE_VSA8,75
PEOE_VSA9,58
SMR_VSA1,66
SMR_VSA10,59
SMR_VSA3,26
SMR_VSA4,30
SMR_VSA5,39
SMR_VSA6,67
SMR_VSA7,81
SMR_VSA9,47
SlogP_VSA1,77
SlogP_VSA10,76
SlogP_VSA12,0
SlogP_VSA2,44
SlogP_VSA3,35
SlogP_VSA4,28
SlogP_VSA5,40
SlogP_VSA6,34
TPSA,7
EState_VSA1,64
EState_VSA10,51
EState_VSA2,49
EState_VSA3,60
EState_VSA4,36
EState_VSA5,56
EState_VSA6,42
EState_VSA7,68
EState_VSA8,25
EState_VSA9,33
VSA_EState1,19
VSA_EState10,0
VSA_EState2,31
VSA_EState3,12
VSA_EState4,32
VSA_EState5,43
VSA_EState6,78
VSA_EState7,45
VSA_EState8,48
FractionCSP3,23
HeavyAtomCount,1
NHOHCount,2
NOCount,7
NumAliphaticRings,29
NumAromaticCarbocycles,9
NumAromaticRings,16
NumHAcceptors,17
NumHDonors,2
NumHeteroatoms,27
NumRotatableBonds,20
RingCount,22
MolLogP,15
MolMR,1
fr_C_O,37
fr_C_O_noCOO,24
fr_NH0,14
fr_benzene,9
fr_bicyclic,21
fr_ether,10
fr_halogen,38
